domainSize;nIterations;nThreads;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;avgColumnTemperature;totalTime;iterationTime;;
128;78125;3;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_3threads_out_par1,h5;par1;88,959763;2,71E+00;3,47E-05;;2,39
128;78125;4;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_4threads_out_par1,h5;par1;88,959763;2,33E+00;2,98E-05;;2,78
128;78125;5;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_5threads_out_par1,h5;par1;88,959755;2,09E+00;2,67E-05;;3,09
128;78125;6;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_6threads_out_par1,h5;par1;88,959763;1,95E+00;2,50E-05;;3,31
128;78125;7;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_7threads_out_par1,h5;par1;88,959763;1,85E+00;2,37E-05;;3,48
128;78125;8;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_8threads_out_par1,h5;par1;88,959763;1,78E+00;2,28E-05;;3,63
128;78125;9;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_9threads_out_par1,h5;par1;88,959763;1,79E+00;2,29E-05;;3,61
128;78125;10;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_10threads_out_par1,h5;par1;88,959763;1,72E+00;2,21E-05;;3,75
128;78125;11;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_11threads_out_par1,h5;par1;88,95977;1,66E+00;2,12E-05;;3,90
128;78125;12;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_12threads_out_par1,h5;par1;88,959763;1,78E+00;2,28E-05;;3,62
128;78125;13;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_13threads_out_par1,h5;par1;88,959763;1,80E+00;2,30E-05;;3,59
128;78125;14;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_14threads_out_par1,h5;par1;88,959763;1,71E+00;2,19E-05;;3,78
128;78125;15;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_15threads_out_par1,h5;par1;88,959763;2,04E+00;2,60E-05;;3,17
128;78125;16;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_16threads_out_par1,h5;par1;88,959763;4,87E+00;6,24E-05;;1,33
128;78125;2;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_2threads_out_par2,h5;par2;88,959763;2,02E+00;2,58E-05;;3,20
128;78125;3;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_3threads_out_par2,h5;par2;88,959763;1,98E+00;2,54E-05;;3,26
128;78125;4;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_4threads_out_par2,h5;par2;88,959763;2,05E+00;2,62E-05;;3,15
128;78125;5;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_5threads_out_par2,h5;par2;88,959763;2,30E+00;2,94E-05;;2,81
128;78125;6;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_6threads_out_par2,h5;par2;88,959763;2,72E+00;3,48E-05;;2,38
128;78125;7;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_7threads_out_par2,h5;par2;88,959763;2,28E+00;2,92E-05;;2,83
128;78125;8;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_8threads_out_par2,h5;par2;88,959763;1,88E+00;2,40E-05;;3,44
128;78125;9;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_9threads_out_par2,h5;par2;88,959763;1,92E+00;2,46E-05;;3,37
128;78125;10;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_10threads_out_par2,h5;par2;88,959763;2,55E+00;3,27E-05;;2,53
128;78125;11;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_11threads_out_par2,h5;par2;88,959763;1,72E+00;2,20E-05;;3,76
128;78125;12;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_12threads_out_par2,h5;par2;88,959763;1,89E+00;2,42E-05;;3,41
128;78125;13;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_13threads_out_par2,h5;par2;88,959763;1,92E+00;2,45E-05;;3,37
128;78125;14;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_14threads_out_par2,h5;par2;88,959763;3,23E+00;4,14E-05;;2,00
128;78125;15;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_15threads_out_par2,h5;par2;88,959763;2,08E+00;2,66E-05;;3,10
128;78125;16;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/128x128_16threads_out_par2,h5;par2;88,959763;2,09E+00;2,67E-05;;3,09
256;39062;1;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_out_seq,h5;seq;50,598125;1,24E+01;3,18E-04;;1,00
256;39062;2;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_2threads_out_par1,h5;par1;50,598122;6,53E+00;1,67E-04;;1,90
256;39062;3;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_3threads_out_par1,h5;par1;50,598125;4,56E+00;1,17E-04;;2,72
256;39062;4;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_4threads_out_par1,h5;par1;50,598122;3,76E+00;9,63E-05;;3,30
256;39062;5;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_5threads_out_par1,h5;par1;50,598122;3,11E+00;7,96E-05;;4,00
256;39062;6;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_6threads_out_par1,h5;par1;50,598122;2,70E+00;6,92E-05;;4,60
256;39062;7;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_7threads_out_par1,h5;par1;50,598122;2,51E+00;6,41E-05;;4,96
256;39062;8;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_8threads_out_par1,h5;par1;50,598122;2,38E+00;6,08E-05;;5,23
256;39062;9;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_9threads_out_par1,h5;par1;50,598122;2,20E+00;5,63E-05;;5,65
256;39062;10;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_10threads_out_par1,h5;par1;50,598122;2,28E+00;5,85E-05;;5,44
256;39062;11;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_11threads_out_par1,h5;par1;50,598125;1,98E+00;5,08E-05;;6,27
256;39062;12;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_12threads_out_par1,h5;par1;50,598122;1,95E+00;4,98E-05;;6,39
256;39062;13;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_13threads_out_par1,h5;par1;50,598122;2,10E+00;5,38E-05;;5,92
256;39062;14;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_14threads_out_par1,h5;par1;50,598122;2,15E+00;5,50E-05;;5,78
256;39062;15;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_15threads_out_par1,h5;par1;50,598122;1,86E+00;4,76E-05;;6,69
256;39062;16;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_16threads_out_par1,h5;par1;50,598122;2,06E+00;5,28E-05;;6,03
256;39062;2;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_2threads_out_par2,h5;par2;50,598122;4,08E+00;1,04E-04;;3,05
256;39062;3;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_3threads_out_par2,h5;par2;50,598122;1,87E+00;4,79E-05;;6,64
256;39062;4;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_4threads_out_par2,h5;par2;50,598122;1,81E+00;4,64E-05;;6,85
256;39062;5;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_5threads_out_par2,h5;par2;50,598122;1,96E+00;5,02E-05;;6,34
256;39062;6;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_6threads_out_par2,h5;par2;50,598122;1,95E+00;4,98E-05;;6,38
256;39062;7;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_7threads_out_par2,h5;par2;50,598122;1,90E+00;4,87E-05;;6,54
256;39062;8;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_8threads_out_par2,h5;par2;50,598122;1,85E+00;4,73E-05;;6,73
256;39062;9;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_9threads_out_par2,h5;par2;50,598122;1,99E+00;5,09E-05;;6,25
256;39062;10;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_10threads_out_par2,h5;par2;50,598122;2,77E+00;7,08E-05;;4,49
256;39062;11;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_11threads_out_par2,h5;par2;50,598122;3,68E+00;9,42E-05;;3,38
256;39062;12;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_12threads_out_par2,h5;par2;50,598122;2,09E+00;5,35E-05;;5,94
256;39062;13;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_13threads_out_par2,h5;par2;50,598122;2,40E+00;6,15E-05;;5,18
256;39062;14;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_14threads_out_par2,h5;par2;50,598122;1,84E+00;4,72E-05;;6,74
