domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
256;39062;50;0.001000;input_data_256.h5;;par;50.598125;9.069202e-01;2.321745e-05
256;39062;50;0.001000;input_data_256.h5;/lscratch/1174771.dm2/256x256_out_128_par.h5;par;50.598125;4.553320e+00;1.165665e-04
512;19531;50;0.001000;input_data_512.h5;;par;30.967758;4.242347e+00;2.172109e-04
512;19531;50;0.001000;input_data_512.h5;/lscratch/1174771.dm2/512x512_out_128_par.h5;par;30.967758;1.115741e+00;5.712667e-05
1024;9765;50;0.001000;input_data_1024.h5;;par;23.933413;5.028774e+00;5.149794e-04
1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174771.dm2/1024x1024_out_128_par.h5;par;23.933413;3.219385e+00;3.296861e-04
2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;2.863726e+00;5.865887e-04
2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174771.dm2/2048x2048_out_128_par.h5;par;21.396944;8.267408e+00;1.693447e-03
4096;2441;50;0.001000;input_data_4096.h5;;par;20.496799;5.607845e+00;2.297356e-03
4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174771.dm2/4096x4096_out_128_par.h5;par;20.496799;1.776565e+01;7.278022e-03
